"OrderingID","Concept","NVB-Abar-7","ECL-Abar-8","NEM-Ajumbu-9","KDC-Ajumbu-10","ENB-BIYA-1","ICN-BIYA-2","NNB-Buu-3","MNJ-Buu-4","KHK-FANG-12","DPN-FANG-13","JGY-Koshin-3","TEL-Koshin-4","KCS-Kung-3","NJS-Kung-4","NMN-Mundabli-3","CEN-Mundabli-2","NGT-Munken-3","NUN-Munken-4","MCA-Ngun-3","KBM-Ngun-4"
"1512","seventeen (17)","dʒʊ́hɛ́kɛ̀bìɲìtê","dʒʊ́hɛ́kə̀bìɲìːtê","ⁿdʒòànàːtòː~kônbə̀ⁿdʒòànàtò","kônbàⁿdʒòànàtò","kɥɪ̂nbìɲìbìtɪ́á","kɥɪ́nàbìɲìbìtə̂","dʒǒːfə́bə̂něːtā","dʒǒːfə̄bə́bə̀něːta᷇ː","kʊ́mɒ̌ːbə́mbə̀nə̀tə́ː","kʊ́mòbábə́nbə̀nə̀ːtə́","dʒʊ́ːfə́ǹtsɔ̀bə̀néːtʲá","dʒúːfə́ǹtsɔ̀bə̀néʲtʲá","ɪ̀ɣə̂mndzə̀ɪ́sɛ̀ːmbɛ᷇ː","ɪ̀ɣə̂mndzə̀sə́sɛ̀ːmbɛ᷇ː","dzóːfə́ǹtsòbínòːtɒ᷇ː","dzʊ́ːfə́àntsòbínɒ̌ːtɒ᷇ː","kɥɪ̂nàbìɲìbìtɛ̂","kɥɪ́nàbə̀ɲìbə̀tɛ̂","kʷônmàbìɲìbìtɛ̂","kʷômàbìɲìbìtɛ̂"
"1513","eighteen (18)","dʒʊ́hɛ́kɛ̀bìnə̀nnɪ̀","dʒʊ́hɛ́kə̀bìnə̀nnə̀","ⁿdʒòànànà~kônbə̀ⁿdʒòànànà","kôɲbàⁿdʒòànànà","kɥɪ̂nbìɲìbìɲì","kɥɪ́nàbìɲìbìɲì","dʒǒːfə́bə́bə̀nə̀nnə̀","dʒǒːfə̄bə́bə̀nə̀nnə̀","kʊ́mɒ̌ːbə́mbə̀nə̀nə̀","kʊ́mòbábə́nbə̀nə̀ːnə̀ː","dʒʊ́ːfə́ǹtsɔ̀dʒàŋ","dʒúːfə́ǹtsɔ̀dʒàŋ","ìɣə́mndzə̀ɪ́fɛ̀ːmə́","ɪ̀ɣə̂mndzə̀sə́fɛ̀mə́","dzóːfə́ǹtsòbínə̀nə̀","dzʊ́ːfə́àntsòbínə̀nə̀","kɥɪ̂nàbìɲìbìɲì","kɥɪ̂nàɲìɲì~kɥɪ̂nàbə̀ɲìɲì","kʷônmàbìɲìbìɲì","kʷômàbìɲìbìɲì"
"1514","nineteen (19)","dʒʊ́hɛ́kɛ̀kpánə́ɲì","dʒʊ́hə́kə̀kpánə́ɲì","ⁿdʒòàkpɛ̂ːɲì~ⁿdʒòkpɛ̂ːɲì~kônbàⁿdʒòkpɛ̂ːɲì","kôɲbàⁿdʒòkpɛɲì","kɥɪ̂nkpɛ̃̌bìɲì","kɥɪ́nàbìɲìŋkpɛ̃̌","dʒǒːfə́bə̀kpàːntə́bə̀ɲì","dʒǒːfə̄bə́kpántə́bə̀nì","kʊ́mɒ̌ːbə̀mbʊ́lə́mʊ̀ː","kʊ́mòbábə́nbúlʊ́mʊ̀","dʒʊ́ːfə́ǹtsɔ̀bə̀néːtôn","dʒúfə́ǹtsɔ̀bə̀néʲtø̂ɲ","ɪ̀ɣə́mndzə̀ɪ́bólɪ́mɔ̀ʔ","ɪ̀ɣə̂mndzə̀sə̀bólɪ́mɔ̀ʔ","dzóːfə́ǹtsòbìkpa᷇ːnə̀","dzʊ́ːfə́àntsòbìkpâːnə̀","kɥɪ̂nàkpǒndʒʊ̀ɲì","kɥɪ̂nàkpǒndʒʊ̀ɲì","kʷônmàkpàɲíbìɲì","kʷômàkpàɲíbìɲì"
"1515","twenty (20)","dʒʊ́hɛ́ŋ̀kêmfɪ́n ~ ø","dʒʊ́hɛ́kə̀bìfɪ̄n","ɣə̂mbɛ̀ː ~àkónàfʲə̂n","m̂bɛ̀~ɣə̂mbɛ̀ː ~ àkónàfʲə̌ŋ","bàkɥɪ̂nbàfó","ʊ́wʊ́ōnʊ̀nə̀","dʒǒːfə́ʃúʃʲe᷇ ~ mbáŋʃʲe᷇ː","mbáŋʃʲe᷇ː","ŋmə̀kə́tsə́lə́ ~ ⁿbáŋfè","ŋmə̀kə́tsə́lə́ ~ ø","ⁿbáŋfî","ⁿbáŋfî","m̀ɣə̂mbə̀ːɣ ~ m̀ɣə̂mbə̀ɣə̀","m̀ɣə̂mbə̀ɣ","mbàŋyíʃʲe᷇","mbàŋɪ́ʃʲe᷇ː ~ ø","ʊ́wónónɛ̀","ʊ́wónʊ́nè","bə̀kʷônbə̀fén","bə̀kʷônbə̀fɪ́n"
"1516","twenty one (21)","dʒʊ́hɛ́ŋ̀kêmfɪ́nmɛ̀kə́m̄","dʒʊ́hɛ́dʒʊ́hə́kə̀kə́m̀","ɣə̂mmùə̀ ~ àkónàfʲə̂ŋbə̀ⁿdʒómùə̀","ɣə̂mbɛ̀ːbàⁿdʒòmʷò","bàkɥɪ̂nbàfóːkákʊ́m̀","ʊ́wʊ́ónʊ̂nə̀kʊ́m̩̀","dʒǒːfə́ʃúʃʲe᷇bə̀kə́mō ~ mbáŋʃʲe᷇bə̀kə́mō","mbàŋʃʲe᷇ːbə̀kə́mo᷇ː","ŋmə̀kə̀tsə́lə́bákə́ŋkə̀mʊ̀ː","ŋmə̀kə́tsə́lə́bákə́ŋkə̀mʊ̀","ⁿbáŋfîǹtsɔ̀kə́mʊ̌ː","ⁿbáŋfîǹtsòkə́mǒ","m̀ɣə̂mbə̀ːndzə̀ɪ́mɔ̀ʔ","m̩̀ɣə̂mbɘ̀ɣndzə̀ɪ́mɔ̀ʔ","mbàŋyíʃʲe᷇ántsòkìmɒ᷇ːɦ","mbàŋɪ́ʃʲə᷇àntsòkə̀mɒ᷇ɦː","ʊ́wónónɛ̀bámʷánə́","ʊ́wónʊ̀ʊ́mʷə́nə̄~ʊ́wónʊ́nèʊ́mʷə́nə̄","bɛ̀kʷônmàkʊ́m̩̀","bə̀kʷônbə̀fɪ́nbə̀kə̀nʊ́kə́m̩̀~bə̀kʷônbə̀fɪ́nbə̀kə̀nókə́m̩̀"
"1517","twenty two (22)","dʒʊ́hɛ́ŋ̀kɛ́mfɪ́nmɛ́bìfɪ́n","dʒʊ́hɛ́dʒʊ́hɛ́kə̀bìfɪ́n","ɣə̂mfʲâŋ ~ àkónàfʲə̂ŋbàⁿdʒòàfʲə̂ŋ","ɣə̂mbɛ̀ːbàⁿdʒʷàfʲə̌ŋ","bàkɥɪ̂nbàfóbìfó","ʊ́wʊ́ónʊ́nə́bàfó","dʒǒːfə́ʃúʃʲe᷇bə̀bə́fíē ~ mbáŋʃʲe᷇bə̀bə́ʃʲē","mbàŋʃʲe᷇ːbə̀bə́ʃíē","ŋmə̀kə̀tsə́lə́ábə̀mə̀fé(lɪ́)","ŋmə̀kə́tsə́lə́bábə́nbə̀fɪ́ː","ⁿbáŋfîǹtsɔ̀bə́fî","ⁿbáŋfîǹtsòbə́fî","m̀ɣə̂mbə̀ːndzə̀sə́bə̀ː","m̩̀ɣə̂mbɘ̀ɣndzə̀sə́bɘ̀ː","mbàŋyíʃʲe᷇ántsòbìfíē","mbàŋɪ́ʃʲə᷇àntsòbíʃʲe᷇ː","ʊ́wʊ́nónɛ̀bə́bìfɪ̀","ʊ́wónànèbə̀fɪ̀~ʊ́wónàbə̀fɪ̀~ʊ́wónàbèfè","bɛ̀kʷônmàbìfɪ́n","bə̀kʷônbə̀fɪ́nbə̀bìnóbìfɪ̌n ~bə̀kʷônbə̀fɪ́nbə̀bìnʊ́bìfɪ̌n"
"1518","twenty three (23)","dʒʊ́hɛ́ŋ̀kɛ́mfɪ́nmɛ́bìtê","dʒʊ́hɛ́dʒʊ́hɛ́kə̀bìfɛ̂ː","ɣə̂mtòː ~ àkónàfʲə̂ŋbàⁿdʒòàtò","ɣə̂mbɛ̀ːbàⁿdʒʷòàtò","bàkɥɪ̂nbàfóːbítɪ́á","ʊ́wʊ́ónʊ́nə́bə̀tə́à","dʒǒːfə́ʃúʃʲe᷇bə̀bə́ta᷇ː ~ mbáŋʃʲe᷇bə̀bə́ta᷇ː","mbàŋʃʲe᷇bə̀bə́ta᷇ː","ŋmə̀kə̀tsə́lə́bábə́mbə̀tə́ː","ŋmə̀kə́tsə́lə́bábə́nbə̀tə́","ⁿbáŋfîǹtsɔ̀bə́tʲá","ⁿbáŋfîǹtsɔ̀bə́tʲá","m̀ɣə̂mbə̀ːndzə̀sə́tə́ɣə́","m̩̀ɣə̂mbɘ̀ɣndzə̀sə́tɘ́ːɣ","mbàŋyíʃʲe᷇ántsòbìtɒ᷇ː","mbàŋɪ́ʃʲə᷇àntsòbítɒ᷇ː","ʊ́wʊ́nónɛ̀bə́bìtɛ̀","ʊ́wónànèbə̀tɛ̂~ʊ́wónàbə̀tɛ̂~ʊ́wónàbètɛ̂","bɛ̀kʷônmàbìtɛ̂ː","bɛ̀kʷônbə̀fɪ́nbə̀bínóbìtɛ̂"
"1519","twenty four (24)","dʒʊ́hɛ́ŋ̀kɛ́mfɪ́nmɛ́bìɲìː","dʒʊ́hɛ́dʒʊ́hɛ́kɛ̀bìɲìː","ɣə̂mɲìː ~ àkónàfʲə̂ŋbàⁿdʒòàɲì","ɣə̂mbɛ̀ːbàⁿdʒʷàɲì","bàkɥɪ̂nbàfóbìɲì","ʊ́wʊ́ónʊ́nə́bàɲì","dʒǒːfə́ʃúʃʲe᷇bə́bə̀ɲə̀lə̂ ~ mbáŋʃʲe᷇bə́bə̀ɲə̀lə̂","mbàŋʃʲe᷇bə́bə̀ɲə̀lə̂","ŋmə̀kə̀tsə́lə́bábə́mbə̀ɲʲə̀ː","ŋmə̀kə́tsə́lə́bábə́nbə̀ɲʲə̀ː","ⁿbáŋfîǹtsɔ̀bə́nə́","ⁿbáŋfîǹtsɔ̀bə́nə́","m̀ɣə̂mbə̀ːndzə̀sə̀kʲə̀kə̀","m̩̀ɣə̂mbɘ̀ːndzə̀sə́tʲə̀kə̀","mbàŋyíʃʲe᷇ântsòbîndé","mbàŋɪ́ʃʲə᷇àntsòbínděː","ʊ́wʊ́nʊ́nɛ̀bə́bìɲə́nə́","ʊ́wónàbèɲə́nə̄","bɛ̀kʷônmàbìɲìː","bɛ̀kʷônbɛ̀fɪ́nbə̀bínóbìɲì"
"1525","thirty (30)","dʒʊ́hɛ́ŋ̀kɛ́ntê","dʒʊ́hɛ́dʒʊ́hɛ́ŋgéǹtêː","ɣə̂mtá ~ àkónàtò","ákónàtò","bàkɥɪ̂nbàtə́á","bə̀kɥɪ̂nbə̀tə́à","mbāŋtʃa᷇ː ~ dʒǒːfə́ʃútʃa᷇ː","mbàŋtʃa᷇ː","ⁿbǎŋtə̀","ⁿbǎːŋtə̀","ⁿbáŋtʲá","ⁿbáŋtʲá","m̀ɣə̂mtə́ː","m̩̀ɣə̂mtɘ́ː","mbàŋyítsɒ᷇ː","mbàŋɪ́tsɒ́","bə̀kɥɪ́nbə̀tɛ̂ː","bèkɥɪ́nbètɛ̂","bɛ̀kʷônbɛ̀tɛ̂","bɛ̀kʷônbɛ̀tɛ̂"
"1526","fourty (40)","dʒʊ́hɛ́ŋ̀kénɲì","dʒʊ́hɛ́dʒʊ́hɛ́ŋgékɛ̀ǹɲìː"," àkónàɲì"," ákónàɲì","bàkɥɪ̂nbàɲì","bə̀kɥɪ̂nbə̀ɲì","mbāŋɲə̀lə̂ ~ dʒǒːfə́ʃúɲə̀lə̂","mbáŋɲə̀lə̂","ⁿbǎŋɲʲə̀","ⁿbǎːŋɲʲə̀","ⁿbáŋnə́","ⁿbáŋnə́","m̀ɣə̂mkʲə̀kə̀","m̩̀ɣə̂mtʲə̀kə̀","mbàŋyîndéː","mbàŋyînděː","bə̀kɥɪ́nbə̀ɲə́nə̂","bèkɥɪ́nbèɲénə̄","bɛ̀kʷônbɛ̀ɲìː","bɛ̀kʷônbɛ̀ɲìː"
"1527","fifty (50)","dʒʊ́hɛ́ŋ̀kêkpa᷇ːn","dʒʊ́hɛ́dʒʊ́hɛ́ŋgêkpán"," àkônkpɛ̂ː"," ákôɲkpɛ̂ː","bàkɥɪ̂nkpɛ̄n","bə̀kɥɪ̂nkpɛ̃̃","mbáŋkpàːntə́","mbáŋkpàntə̀","ⁿbǎŋtsɑ̂ː","ⁿbǎːŋtsɑ̂ː","ⁿbáŋtø̂ɲ","ⁿbáŋtø̂ɲ","m̀ɣə̂mtàʲ","m̩̀ɣə̂mtâʲ","mbāŋyìkpɒ̄n","mbàŋyíkpɒ᷇ːn","bə̀kɥɪ᷇ːnkpōːnə̄","bèkɥɪ̂nkpōːnə̄","bɛ̀kʷônkpàːɲí","bɛ̀kʷônkpàːɲí"
"1528","sixty (60)","dʒʊ́hɛ́ŋ̀kêǹlɪ́tê","dʒʊ́hɛ́dʒʊ́hɛ́ŋgêǹlɪ́ːtê"," àkónàkʲâːtò"," ákónàkʲâtò","bàkɥɪ̂nbàtə́àbàtə́à","bə̀kɥɪ̂nbə̀tə́bᴂ̄","mbáŋtáːlə̀","mbáŋǹtàːlə̀","ⁿbǎŋtɘ̄ːtɘ̄ː","ⁿbǎːŋtɘ̄ːtɘ̄ː","ⁿbáŋbə́ʃúá","ⁿbáŋbə́ʃúá","m̀ɣə̂mtùːfə̂","m̩̀ɣə̂mtūːfə́ɣ","mbáŋyìtʃítá","mbàŋyìtʃitá","bə̀kɥɪ᷇ːbə̀léːtɛ̂","bèkɥɪ̂nbèlétɛ̂","bɛ̀kʷônbɛ̀tɛ̂bɛ̀tɛ̂","bɛ̀kʷônbɛ̀lɪ́tɛ̂"
"1529","seventy (70)","dʒʊ́hɛ́ŋ̀kéɲìːǹtêː","dʒʊ́hɛ́dʒʊ́hɛ́ŋkèɲìtê"," àkónànàːtò"," ákónànàːtò","bàkɥɪ̂nbàɲìbàtə́á","bə̀kɥɪ̂nbə̀ɲìbə̀tə̂","mbáŋněːta᷇ː","mbáŋǹněːta᷇ː","ⁿbǎŋnə̀ːtə᷇ː","ⁿbǎːŋnə̀tə́","ⁿbáŋbə̀néʲtíá","ⁿbáŋbə̀néʲtʲá","m̀ɣə̂msɛ̀ːmbɛ᷇ː","m̀ɣə̂msɛ̀ːmbɛ᷇ː","mbáŋyînɒ̌ːtɒ᷇ː","mbàŋyînɒ̌ːtɒ᷇ː","bə̀kɥɪ᷇ːnbə̀ɲìbə̀tɛ̂","bèkɥɪ᷇ːnàbèɲìbètɛ̂","bɛ̀kʷônbɛ̀ɲìbɛ́bìtɛ̂","bɛ̀kʷônbɛ̀ɲìbɛ́bɛ̀tɛ̂"
"1530","eighty (80)","dʒʊ́hɛ́ŋ̀kênə̀nì","dʒʊ́hɛ́dʒʊ́hɛ́kèbìnə̀nnə̀"," àkónànàːnà"," ákónànàːnà","bàkɥɪ̂nbàɲìbàɲì","bə̀kɥɪ̂nbə̀ɲìbə̀ɲìː","mbáŋnə̀nnə̀","mbáŋǹnə̀nnə̀","ⁿbǎŋnɘ̀nɘ̀ː","ⁿbǎːŋnə̀nə̀","ⁿbáŋdʒàŋ","ⁿbáŋdʒàŋ","m̀ɣə̂mfɛ̀ːmə́","m̀ɣə̂mfɛ̀ːmə́","mbáŋyînə̀nə̀","mbàŋyînə̀nə̀","bə̀kɥɪ᷇ːnbə̀ɲìbə̀ɲì","bèkɥɪ᷇ːnàbèɲìɲì","bɛ̀kʷônbɛ̀ɲìbɛ̀ɲì","bɛ̀kʷônbɛ̀ɲìbɛ̀ɲìː"
"1531","ninety (90)","dʒʊ́hɛ́ŋ̀kêkpánə́ɲì","dʒʊ́hɛ́dʒʊ́hɛ́kèkpánə̂ɲì"," àkónkpɛ̂ːɲì"," ákóɲkpɛ̂ːɲì","bàkɥɪ̂nkpɛ̃̌bə̀ɲìː","bə̀kɥɪ̂nbə̀ɲìmkpɛ̃̂n","mbáŋkpâːntə́bə̀ɲì","mbáŋkpàntə́bə̀nìː","ⁿbǎŋbʊ́lʊ́mʊ̀","ⁿbàŋbúlʊ́mʊ̀","ⁿbáŋbə̀néʲtø̂ɲ","ⁿbáŋbə̀néʲtø̂ɲ","m̀ɣə̂mndzə̀bólɪ́mɔ̀ʔ","m̀ɣə̂mbólɪ́mɔ̀ʔ","mbáŋyìkpâːnə̀","mbáŋyìkpâːnə̀","bə̀kɥɪ́nàkpǒːndʒìnì","bə̀kɥɪ᷇ːnkpǒːndʒʊ̀ɲì","bɛ̀kʷônkpàːɲíbɛ́bìɲì","bɛ̀kʷo᷇ːnkpàːɲíbɛ̀ɲì"
"1532","one hundred (100)","bɔ̂ŋ","hɔ́ndə̀lò~ɪ̀dʒánə̀ɪ́tə́ntə̄ŋ","ŋʷɛ́","ŋʷɛ́","fídʒə́nhə́fím̩̀","ɪ́dʒə́nkím̩̀","yɛ́nɲʊ́ə̄","bínɥo᷇ː","bʲə̀kpó","bʲə́","gbɪ̂ː","gbî","wʊ᷇ː","wʊ᷇ː","gbɪ̂ wǔ mʷó","gbɪ̂ wʊ̀ mó","bə̀kɥɪ̂nàkɥɪ̂n","hɔ́ndrɛ̀ʊ́mʷə́nə̄","ʊ́gbɛ́ʊ́m̩̀","ʊ́wúónʊ̂nò"
"1533","two hundred (200)","bɔ̂ŋŋ̀kém̀fɪ́n","hɔ́ndə̀lóbʊ̀fɪ̌n~ɪ̀dʒánə́tə́ntə́ŋm̀fɪ̌ːn","ŋʷɛ́ŋkə̀fʲə̂ŋ","ŋʷɛ́ŋkə̀fʲə̌ŋ","ń̩dʒə̂nhə́m̩̀fó","ádʒə́nàfó","yɛ́ntə́kə́fíē ~ hɔ́ndrɛ̀dbə́fíē","dʒɪ̀ʃʲe᷇ː","dʒêːɪ̀fé","dʒêfɪ́ː","dzíːfî","zíːfî","wʊ́ɪ́bə̀ː","wʊ᷇ɪ̀bɘ̄ɣ","dzɪ̂ yǐ ʃʲe᷇","dzɪ̂ yǐ ʃʲe᷇","bə̀kɥɪ́nàkɥɪ́nbə̀fɪ̀","bèhɔ́ndrɛ̀bèfè","ɪ́gbɛ́ɪ̄fɪ̄n","ʊ́wúónʊ̂nòbə̀fɪ̌n"
"1538","one thousand (1000)","tásə̀n~ɪ́dʒánə̄~ʊ́gbêː~bɔ̂ŋŋ̀kédʒʊ́hɛ́","ɪ́dʒánə́náːnə̄","kʲàː ~ ŋ̀kám","kʲàː","ɪ́dʒə́nkʊ́m̩̀","kə̀ŋkxᴂ̀~kə̀ŋkxᴂ̀kákʊ̀m̩̀","tóːsə̀nɲʊ̀ə̀~yɛ́nɲʊ́ə̄~yɛ́nnɪ́nə̀ɲúə̄","yɛ́nnɥo᷇","kám~kə̀ŋkxɛ̀","kāmkpó","kʲà","kʲà ~ kʷám","kām ~ əβə᷇ː","kám","ŋgɒ́m kí mʷō","kām kə́ mɒ̄","ɪ́dʒɛ́nɪ̀tɪ́tàɪ́mʷə́nə́","ɪ́dʒɛ́nɪ́mʷə́nə̄","ntàmʊ̀dʲàfə̀tə́ʊ́m̩̀","ʊ́wúónʊ́nòbə̀kʷôn~tɔ́ːʃìʊ́m̩̀"
"1539","two thousand (2000)","tásə̀nbʷɪ̀fɪ́n~ɪ́gbêːɪ̀fɪ́n~ndʒânfɪ́n","ɪ̄dʒánə́náːmfɪ̌ːn","kʲáfʲə̌ŋ ~ àŋkámáfʲə̌ŋ","kʲáfʲə̌ŋ","ádʒə́nàfǒː","bìŋkxᴂ̀ ~ bìŋkxᴂ̀bìfó","tóːsə̀nbə́fíē ~ yɛ́ntə́kə́fíē","yɛ́ntə́kə́fíē","bɛ̀ɪ̀fèlɪ́~bə̀ŋkxɛ̀bə̀féː","bə̀ŋkxɛ̀mbə̀fɪ́ː","kʲáːfî","kʲáfî ~ bə̀kʷâmbə́fî","kāmsə̀bə̀ː~kāmsə̀bə̀ɣə̀~βə́sə̀bə̀ː","kámsə́bə̀ː","ŋgɒ́m bí fʲe᷇","kām bí fíē","bə́tásə̀nbə̀fɪ̀","ádʒɛ́náfè","bɛ̀ntàmbɛ̀dʲáfə́tə̀bɛ̀fɪ́n","ʊ́wúónʊ́nòbə̀kʷônbə̀fɪ́n~bə̀tɔ́ːʃìbə̀fɪ̌n"
"1545","burn","tàhà / tàːkò / tàhá / tàhá   TRANS","tàhà/tàhàbínla᷇ː/tàhá/tàhá   TRANS","kɥàː / kɥòːkə̀ / kɥa᷇ / kɥǎː (TRANS)","kɥàː / kɥɔ̀ːkə̀ / kɥá / kɥǎ  (TRANS)","tʊ̀hʊ̀ / tʊ̀hʊ̀ɲʲà / tʊ̀hʊ́ / tʊ̀hʊ́  TRANS","tùsə̀ / tùsə̀ɲìɲâ / tùsə́ / tùsə́  TRANS","kpàː / kpǎː kə̀ / kpǎː / kpǎː  (TRANS)","kpàː/kpà kə̀/kpǎː/kpǎː  (TRANS)","kpɛ̀ / kpɑ̀ː / kpɛ̀ / kpɛ̀ː   TRANS","kpɛ̀ː~kpɛ̀ó / kpɑ̀ː / kpɛ̄ / kpɛ̀ TRANS","kpà / kpǎ / kpâ / kpá (Transitive)","kpà / kpàlə̂ / kpâ / kpá (Transitive)","kwò / kʷòːkə̀ / kʷò / kʷǒ (transitive)","kʷó / kʷòkə̀ / kʷòkə̀ / kʷǒː (transitive)","kpɑ̀ / kpà /kpɑ̂ /kpɑ̌~kpə̌ː (TRANS)","kpə́ / kpà / kpə́ / kpə̌ (transitive)","tò~tòhò / tò / tò / tòhə́ (transitive)","tòhɛ́~tʊ̀hə́/tòhə̀/tòhò/tòhə́ (TRANS)","tɥòhò/tɥóhólàn/tɥòhò/tɥòhó (TRANS)","tɥòhò/tɥòhòlàn~tɥòhòlə̀nlân/tɥòhó/tɥòhó (TRANS)"
"1546","walk","nàn / nòno᷇ː / nān / nán","nàn / nʊ̀no᷇ː / nǎːn / nǎːn","kʲà / tə̀kə̀ / kʲáː / kʲǎ","tə̀kə́ / tə̀kə̀ / tə̀kə̀ / tə̀kə́","nə̀ / nòɲ̀ɲʲâ / nə̄ / nə́","nə̀ / nə̀nô / nə̄ / nə̌","dzɪ́ / dzɪ́ kə̂ / dzɪ̄ / dzɪ́","dzɪ́ / dzɪ́ː kə̂ / dzɪ́ / dzɪ́","bzɨ̀ / bzə̀ / bzɨ̄ / bzɨ̀","bzə̀ô / bzə̀wò / bzə̄ / bzə̄","nǐː / níːlə̀lə̂ / nîː / ní","nì / nîːlə̀lə́ / nî / ní","tūə́ / tûkə̀ / tùkə̀ / tùó","túə́ / tùkə̀ / tùkə̀ / tùə́","gàn / gàn / gán / gǎːn","gàn / gàn / gán / gǎːn","nàŋ / náŋkə̀ / nǎːŋ / náŋ","nàŋ / náŋkə̀ / nāŋ / nǎŋ","kō / kòko᷇ː / kō / kō","kʊ̀ / kʊ̀nla᷇ːn / kʊ̌ː / kʊ́"
"1547","wear","dʒìː / dʒʊ̀dʒʊ᷇ː / dʒì / dʒí","dʒì / dʒʊ̀nla᷇ː / dʒǐː / dʒī","gbə̀lə̀ / gbə̀lə̀kə̀ / gbə́lə́ / gbə̀lə́","dzə̀ / dzə̀kə̀ / dzə́ / dzə̌","dzɪ̀ː / dzʊ̀ɲʲa᷇ː / dzɪ̄ / dzɪ̄","dzɪ̀ / dzòɲìɲâ / dzɪ̌ː / dzɪ̌","yə́mmə̂ / yə́mmə́ kə̀ / yə̀mmə́ / yə̀mmə́","yə́mə̂ / yə́mə́ kə̀ / yə̀mə́ / yə̀mə́","dʒì / dʒì / dʒí / dʒì","dʒʲǒ / dʒì / dʒī / dʒə̄","yɪ̃̌ː / yèːnə́ / yẽ̌ː / yɪ̃̌ː","yèʲ / yèːnə́lə̂ / yéɲ / yéɲ","tə́ŋə́ / tə̀ːŋkə̀ / tə̀ŋkə̀ / tə̀ŋə́","tə́ŋə́ / tə̀ŋkə̀ / tə̀ŋkə̀ / tə̀ŋə́","sɪ̀ / sɪ̀ / sɪ́ / sɪ̌ː","sìː / sìː / sí / sǐː","dzɛ̀ː / dzò / dzɛ̀ / dzɪ̌","zè / zòː / zē / zě","dʒì / dzʊ̀làn / dʒì / dzɪ̄","dʒì / dʒʲòlə̀nla᷇ːn / dʒí / dzǐ"
"1548","beat","mɪ́ / ŋmɪ̂kò / ŋmɪ̂ / ŋmɪ̂","mʷɪ́ / mʷɪ̂lə̀nlǎː / mʷɪ̀ / ŋmɪ̂","tʃʊ́ə́~tʃó / tʃʊ́kə̀ / tʃʊ́ə́~tʃó / tʃʊ́ə́","tʃǿə́ / tʃúkə̀ / tʃǿə́ / tʃø̄ə̄","jí / wúòɲʲa᷇ː / jî / jî","tʃám / tʃâmɲìɲa᷇ː / tʃám / tʃâm","tʃʊ́ / tʃʊ́ː kə̂ / tʃʊ̄ / tʃʊ́","tʃʊ́ / tʃʊ́ː kə̂ː / tʃʊ̄ / tʃʊ̄","tsú / tsʊ̀ / tsú / tsú","tsùó / tsúò / tsú / tsú","túə́ / túə́ / túə́ / túə́","túə́ / tʃùə̀lə̂ / tʃúə́lə̂ / tʃúə́","bós / bòsə́ / bòsə́ / bós","bós / bòsə́ / bósə́ / bós","tsʊ̌ː / tsø̄ / tsʊ́ / tsʊ́","tsʊ̌ː / tsœ̂ / tsʊ̄ / tsʊ́","ɲí / ɲíó / ɲí / ɲī","tsám / tsâm / tsâm / tsâm","ŋmɪ́ / mʷôlə̀nlân / ŋmɪ́ /ŋmɪ̀","tsám / tsâmlə̀nlân / tsām / tsām"
"1549","burn","bí / bíbíkō / bī / bî            INTRANS","bí/bînla᷇ː / bìbí / bî            INTRANS","fʊ́ə́ / fʊ́kə̀ / fʊ́ə́ / fʊ́ə́  (INTRANS)","fʷó / fúkə̀ / fʷó / fʷə́  (INTRANS)","bí / bʲôɲʲa᷇ː / bī / bî            INTRANS","bɪ́ / bɪ̂ːɲìɲâ / bɪ̂ / bɪ̂           INTRANS","ø/ø/ø/ø","béː / béː kə̂ / bēː / béː  (INTRANS)","sɪ̀ / ʃʲə̀~ʃʲə̀ó / sɪ́ / sɪ́       INTRANS","sǐː / ʃʲǒ / sí / sí       INTRANS","fɥǐː / fʲə́lə̂ / fɥí / fɥí  (Intransitive)","fɥí / fʲə̀lə̂ / fɥí / fɥí  (Intransitive)","fʲə́ː / fʲə̌ː / fìə́ / féʲ (intransitive)","fə̀ɪ̀ / fìə́ / fíə́ / fíə́ / fə́ɪ́ (intransitive)","bœ̌ / bœ̂ / bœ́ / bœ́ (INTRANS)","bœ̌ / bœ̀ / bœ́ / bœ́ (intransitive)","fɔ́hɔ́ / fɔ́ / fɔ̄ / fɔ́hɔ̂ (transitive)","fɔ́hɔ́ / fɔ́ / fɔ̄ / fɔ́hɔ̂ (transitive)","bí / bʲôǹlân / bī / bíbí (INTRANS)","bǐː / bʲôǹlàn / bîː / bî (INTRANS)"
"1552","I","N (ḿ, ŋ̀, ń, ǹ), mo / mo[3]","N (m, ŋ, n), mə̀~mə́ / mô~mò","Ǹ, mə́ / mə̄","Ǹ~mə́ / mə̀~mə́","N (ḿ, ŋ̀, ń, ǹ), mə̀~mə́ / mə́","N (m̀, ŋ, n), mə̀~mə́ / mə̄","m̀ / mɪ́","ǹ / mɪ̄","mə́, mì, mʲə́, mʲə̄, mə̌ /mʲə̀","mə́, mʲə́~mʲə̄ / mʲə́","mə̀ / mə̄","N ~ mə́ / mə́","m̀, mʲə̌ / mɛ̂ɲ","m̀ / mə́ɪ́","N̂ / mə́","Ń ~ Ǹ / mə́","Ń~Ǹ~mə̀ / mə̄nə̄","Ǹ~mə̂ / mə̀nə́ ~mí","Ǹ~Ń~mə̀ / mō~mó~mò","Ǹ~Ń~mə̀~mə́ / mò~mə̂"
