"OrderingID","Concept","NVB-Abar-7","ECL-Abar-8","NEM-Ajumbu-9","KDC-Ajumbu-10","ENB-BIYA-1","ICN-BIYA-2","NNB-Buu-3","MNJ-Buu-4","KHK-FANG-12","DPN-FANG-13","JGY-Koshin-3","TEL-Koshin-4","KCS-Kung-3","NJS-Kung-4","NMN-Mundabli-3","CEN-Mundabli-2","NGT-Munken-3","NUN-Munken-4","MCA-Ngun-3","KBM-Ngun-4"
"1502","seven (7)","bìɲìtê","bìɲìːtê","nàːtò","nàːtò","bìɲìbìtɪ́á","bìɲìbìtə̂","něːtāː","něːta᷇ː","nə̀ːtə́","nə̀tə́","bə̀néʲtʲá","něʲːtʲá","sɛ̀ːmbɛ᷇ː","sɛ̀ːmbɛ᷇ː","nɒ̌ːtɒ᷇ː","bînɒ̌tɒ᷇ː","bìɲìbìtɛ̂","bə̀ɲìbə̀tɛ̂","bìɲìbìtɛ̂","bìɲìbìtɛ̂"
"1503","eight (8)","bìnə̀nnɪ̀","bìnə̀nnə̀","nànà","nànà","bìɲìbìɲì","bìɲìbìɲìː","nə̀nnə̀","nànnə̀ ~ nə̀nnə̀","nə̀ːnə̀","nə̀nə̀","dʒàŋ","dʒàŋ","fɛ̀ːmə́","fɛ̀ːmə́","nə̀nə̀","nə̀nə̀","bìɲìbìɲì","ɲìɲì","bìɲìbìɲì","bìɲìbìɲì"
"1504","nine (9)","kpànə́ɲì","kpànə́ɲìː","kpɛ̂ɲì","kpɛ̂ːɲì","kpɛ̃̌bìɲì","bìɲìkpɛ̃̄","kpàntə́bə̀ɲɪ̀","kpàntə́bə̀nìː","bʊ́lʊ́mʊ̀","búlʊ́mʊ̀","bə̀néːtø̂ɲ","něːtø̂ɲ","bólémɔ̀ʔ","bólə́mɔ̀ʔ","kpáʔánə̀~kpáʔnə̀","kpânə̀","kpǒndʒìɲì","kpóndʒʊ̀ɲì","kpāɲíbìɲì","kpāɲíbìɲìː"
"1505","ten (10)","dʒʊ̄hɛ́","dʒʊ́hɛ́","kôn","kôɲ","kɥɪ̂n","kɥɪ̂n","dʒǒːfə̄","dʒǒːfə̄","kʊ́mɒ̀","kʊ́mā","dʒʊ́ːfə́","dʒúːfə́","íɣə́m","ɪ̀ɣə́m","dzóːfə́","dzʊ́ːfə́","kɥɪ̂n","kɥɪ̂n","kʷôn","kʷôn"
"1506","eleven (11)","dʒʊ́hɛ́kèkʊ̂m̩̀","dʒʊ́hɛ́kə̀kʊ̂m̀","ⁿdʒòmʷò~kônbə̀ⁿdʒòmʷò","kônbə̀ⁿdʒòmʷò","kɥɪ̂nkákʊ̂m̩̀","kɥɪ́nàkʊ́mʊ̀","dʒǒːfə̄bə̀kə́mō","dʒǒːfə̄bə̀kə́mo᷇ː","kʊ́mɒ̌kə́ŋkə̀mʊ̀ː","kʊ́màbàkə́ŋkə̀mʊ̀","dʒʊ́ːfə́ǹtsɔ̀kə́mʊ̌","dʒʊ́fə́ǹtsòkə́mǒː","ɪ̀ɣə́mndzə̀ɪ́mɔ̀ʔ","ndzə̀mɔ̀ʔ ~ ɣə̂mndzə̀mɔ̀ʔ","dzóːfə́ǹtsòkìmœ᷇","dzʊ́ːfə́àntsòʊ̀mʷʊ̀","kɥɪ̂nómʷánā","kɥɪ̂náʊ́mʷə̄nə̄","kʷônmàkʊ̂m̩̀","kʷômàkʊ̂m̩̀"
"1507","twelve (12)","dʒʊ́hɛ́kɛ̀bìfɪ́n","dʒʊ́hɛ́kə̀bìfɪ́n","ⁿdʒòàfʲə̌ŋ~kônbàⁿdʒòàfʲə̌ŋ","kônbàⁿdʒʷàfʲə̂ŋ","kɥɪ̂nbìfó","kɥɪ́nàbìfô","dʒǒːfə́bə̀bə́fíē","dʒǒːfə̄bə̀bə́fíē","kʊ́mɒ̌bə́mbə̀féː","kʊ́màbábə̀mbə̀fèː","dʒʊ́ːfə́ǹtsɔ̀bə́fî","dʒʊ́fə́ǹtsɔ̀bə́fî","ɪ̀ɣə́mndzə̀ɪ́bə̀ː","ɪ̀ɣə̂mndzə̀sə́bɘ̀ɣ","dzóːfə́ǹtsòbífíē","dzʊ́ːfə́àntsòbífíē","kɥɪ̂nàbìfɪ̀","kɥɪ̂nàbə̀fè~kɥɪ̂nàbə̀fɪ̀","kʷônmàbìfén","kʷômàbìfén"
"1508","thirteen (13)","dʒʊ́hɛ́kɛ̀bìtêː","dʒʊ́hɛ́kə̀bìtêː","ⁿdʒòàtòː~kônbàⁿdʒòàtò","kônbàⁿdʒʷàtò","kɥɪ̂nbìtɪ́á","kɥɪ́nàbìtᴂ̂","dʒǒːfə́bə̀bə́ta᷇ː","dʒǒːfə̄bə̀bə́ta᷇ː","kʊ́mɒ̌ːbə́mbə̀tə́ː","kʊ́màbábə́nbə̀tɘ́ː","dʒʊ́ːfə́ǹtsɔ̀bə́tʲá","dʒúfə́ǹtsɔ̀bə́tʲá","ɪ̀ɣə́mndzə̀ɪ́tə́ː","ɪ̀ɣə̂mndzə̀sə́tɘ́ː","dzóːfə́ǹtsòbítɒ᷇ː","dzʊ́ːfə́àntsòbítɒ᷇ː","kɥɪ̂nàbìtɛ̀","kɥɪ̂nàbə̀tɛ̂","kʷônmàbìtɛ̂ː","kʷômàbìtɛ̂ː"
"1509","fourteen (14)","dʒʊ́hɛ́kɛ̀bìɲì","dʒʊ́hɛ́kə̀bìɲìː","ⁿdʒòàɲì~kônbàⁿdʒòàɲì","kônbàⁿdʒʷàɲì","kɥɪ̂nbìɲì","kɥɪ́nàbìɲìː","dʒǒːfə́bə́bə̀ɲə̀lə̂","dʒǒːfə́bə́bə̀ɲə̀lə̂","kʊ́mɒ̌ːbə́mbə̀ɲʲə̀","kʊ́mòbábə́mbə̀ɲʲə̀","dʒʊ́ːfə́ǹtsɔ̀bə́nə́","dʒʊ́fə́ǹtsɔ̀bə́nə́","ɪ̀ɣə́mndzə̀ɪ́tʃʲə̀kə̀","ɪ̀ɣə̂mndzə̀sə́tʲə̀kə̀","dzóːfə́ǹtsòbîndéː","dzʊ́ːfə́àntsòbínděː","kɥɪ̂nàbìɲə́nə̄","kɥɪ̂nàbə̀ɲə́nnə̂","kʷônmàbìɲìː","kʷômàbìɲìː"
"1510","fifteen (15)","dʒʊ́hɛ́kɛ̀kpán","dʒʊ́hɛ́kə̀kpán","ⁿdʒòàkpɛ̂ː~ⁿdʒòkpɛ̂ː~kônbàⁿdʒòkpɛ̂","kônbàⁿdʒʷàkpɛ̂ː","kɥɪ̂nkpɛ̃̄","kɥɪ́nàkpɛ̃̄","dʒǒːfə́bə̂kpàːntə̀","dʒǒːfə̄bə́kpàːntə̀","kʊ́mɒ̌ːbə́ntsɑ̂ː","kʊ́mòbábə́ntsɑ̂ː","dʒʊ́ːfə́ǹtsɔ̀bə́tø̂ɲ","dʒúfə́ǹtsɔ̀bə́tø̂ɲ","ɪ̀ɣə́mndzə̀ɪ́tàʲ","ɪ̀ɣə̂mndzə̀sə́táʲ","dzóːfə́ǹtsòbíkpɒ́n","dzʊ́ːfə́àntsòbíkpɒ᷇ːŋ","kɥɪ̂nàkpóːnə̄","kɥɪ̂nàkpóːnə̂","kʷônmàkpàɲí","kʷômàkpàɲí"
"1511","sixteen (16)","dʒʊ́hɛ́kɛ̀bìlɪ́tê","dʒʊ́hɛ́kə̀bìlɪ́tê","ⁿdʒòàkʲâːtòː~kônbə̀ⁿdʒòàkʲâtò","kônbàⁿdʒʷàkʲâtò","kɥɪ̂nbìtɪ́ábìtɪ́á","kɥɪ́nàbìtə́tᴂ̄","dʒǒːfə́bə́bə̀táːlə̄","dʒǒːfə̄bə́bə̀táːlə̀","kʊ́mɒ̌ːbə̀mbə̀tɘ́ːtɘ́ː","kʊ́mòbábə́nbə̀tɘ́ːtɘ́ː","dʒʊ́ːfə́ǹtsɔ̀bə́ʃúá","dʒúːfə́ǹtsɔ̀bə́ʃúá","ɪ̀ɣə́mndzə̀ɪ́tùːfə́","ɪ̀ɣə̂mndzə̀sə́tūːfə́","dzóːfə́ǹtsòbìtʃítá","dzʊ́ːfə́àntsòbìtʃítá","kɥɪ̂nàbìlétɛ̂~kɥɪ̂nàbìlɪ́tɛ̂","kɥɪ̂nàbə̀létɛ̂","kʷônmàbìtɛ̂bìtɛ̂","kʷômàbìtɛ̂bìtɛ̂"
